"Customers Created: ","288"
"Customer ID","Arrival","Time to Check Out","Departure","Total Wait","Line Number"
"163","423","1","432","9","1"
"165","427","3","436","9","1"
"167","433","2","439","6","1"
"168","435","4","444","9","1"
"169","438","3","448","10","1"
"170","441","4","453","12","1"
"171","445","3","457","12","1"
"173","447","2","460","13","1"
"176","453","3","464","11","1"
"177","455","1","466","11","1"
"180","461","4","471","10","1"
"182","468","1","473","5","1"
"184","475","4","480","5","1"
"188","485","3","489","4","1"
"189","488","3","493","5","1"
"191","492","3","497","5","1"
"193","495","1","499","4","1"
"196","500","2","503","3","1"
"197","502","2","506","4","1"
"198","504","4","511","7","1"
"199","507","3","515","8","1"
"204","519","2","522","3","1"
"205","520","2","525","5","1"
"206","522","4","530","8","1"
"208","525","1","532","7","1"
"209","529","3","536","7","1"
"211","534","2","539","5","1"
"212","535","2","542","7","1"
"213","538","4","547","9","1"
"215","545","4","552","7","1"
"216","547","1","554","7","1"
"217","550","4","559","9","1"
"220","559","1","561","2","1"
"221","560","1","563","3","1"
"222","561","3","567","6","1"
"224","563","4","572","9","1"
"225","566","1","574","8","1"
"228","576","1","578","2","1"
"231","586","4","591","5","1"
"233","589","2","594","5","1"
"235","595","1","597","2","1"
"238","603","1","605","2","1"
"239","606","1","608","2","1"
"241","612","4","617","5","1"
"242","614","1","619","5","1"
"245","619","3","623","4","1"
"251","635","3","639","4","1"
"252","637","4","644","7","1"
"254","640","2","647","7","1"
"255","641","2","650","9","1"
"257","646","2","653","7","1"
"260","651","1","655","4","1"
"266","668","4","673","5","1"
"271","675","3","679","4","1"
"272","677","2","682","5","1"
"274","685","2","688","3","1"
"278","694","4","699","5","1"
"281","700","1","702","2","1"
"282","703","1","705","2","1"
"283","706","3","710","4","1"
"284","708","2","713","5","1"
"285","710","1","715","5","1"

